Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
"Anus, Anal Canal and Anorectum",Male,All,50-54,1482093,163,1.1000000000000002e-4,9.499999999999999e-5,1.3e-4,61,4.1158011002008645e-5,0,0
"Anus, Anal Canal and Anorectum",Male,All,60-64,836793,139,1.65e-4,1.4000000000000001e-4,1.95e-4,51,6.094697254876654e-5,0,0
"Anus, Anal Canal and Anorectum",Male,All,70-74,592901.4,134,2.25e-4,1.8999999999999998e-4,2.7e-4,62,1.0457050700167008e-4,0,0
"Anus, Anal Canal and Anorectum",Male,Black,50-54,148162.6,17,1.1499999999999998e-4,6.5e-5,1.85e-4,8,5.399473281381401e-5,0,1.9462979186380368e-4
"Anus, Anal Canal and Anorectum",Male,Black,60-64,78088,9,1.1499999999999999e-4,5.500000000000001e-5,2.2000000000000003e-4,3,3.8418194857084316e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,70-74,45789.2,11,2.4000000000000003e-4,1.2000000000000002e-4,4.3000000000000004e-4,7,1.5287447695089672e-4,0,6.297741825583326e-4
"Anus, Anal Canal and Anorectum",Female,All,50-54,1548758.2,252,1.65e-4,1.45e-4,1.8500000000000002e-4,66,4.261478647861235e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,60-64,918696.2,180,1.95e-4,1.7e-4,2.2500000000000002e-4,51,5.551345482870181e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,70-74,750127.4,208,2.7499999999999996e-4,2.3999999999999995e-4,3.2e-4,85,1.1331408504741995e-4,0,0
"Anus, Anal Canal and Anorectum",Female,Black,50-54,172564.2,33,1.8999999999999996e-4,1.3e-4,2.7e-4,12,6.953933666426755e-5,0,1.8097677849750993e-4
"Anus, Anal Canal and Anorectum",Female,Black,60-64,96576.4,13,1.3500000000000003e-4,7e-5,2.2999999999999998e-4,4,4.1417986174676216e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,70-74,66563.6,11,1.6499999999999997e-4,7.999999999999999e-5,2.95e-4,4,6.0092903629010445e-5,0,0
Bones and Joints,Male,All,50-54,1482093,51,3.5e-5,2.5e-5,4.5e-5,20,1.3494429836724146e-5,0,0
Bones and Joints,Male,All,60-64,836793,59,7.000000000000001e-5,5.5e-5,8.999999999999999e-5,24,2.8680928258243078e-5,0,0
Bones and Joints,Male,All,70-74,592901.4,69,1.15e-4,9e-5,1.4499999999999997e-4,40,6.746484322688392e-5,0,0
Bones and Joints,Male,Black,50-54,148162.6,8,5.5e-5,2.4999999999999998e-5,1.05e-4,3,2.0248024805180255e-5,0,0
