Age,Site,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
50-54,C00.0-External upper lip,7410465,8,1e-6,0,2e-6,1,1.3494429836724147e-7,0,0
50-54,C00.1-External lower lip,7410465,79,1.1000000000000001e-5,8e-6,1.3000000000000001e-5,22,2.9687745640793123e-6,0,0
50-54,"C00.2-External lip, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C00.3-Mucosa of upper lip,7410465,3,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C00.4-Mucosa of lower lip,7410465,23,3e-6,2e-6,5e-6,6,8.096657902034488e-7,0,0
50-54,"C00.5-Mucosa of lip, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C00.6-Commissure of lip,7410465,3,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C00.8-Overlapping lesion of lip,7410465,1,0,0,1e-6,0,0,0,0
50-54,"C00.9-Lip, NOS",7410465,5,1e-6,0,2e-6,1,1.3494429836724147e-7,0,0
50-54,"C01.9-Base of tongue, NOS",7410465,406,5.5e-5,5e-5,6e-5,227,3.063235572936381e-5,0,0
50-54,"C02.0-Dorsal surface of tongue, NOS",7410465,8,1e-6,0,2e-6,1,1.3494429836724147e-7,0,0
50-54,C02.1-Border of tongue,7410465,80,1.1000000000000001e-5,9e-6,1.3000000000000001e-5,45,6.0724934265258655e-6,0,0
50-54,"C02.2-Ventral surface of tongue, NOS",7410465,34,5e-6,3e-6,6e-6,22,2.9687745640793123e-6,0,0
50-54,"C02.3-Anterior 2/3 of tongue, NOS",7410465,35,5e-6,3e-6,7e-6,21,2.833830265712071e-6,0,0
50-54,C02.4-Lingual tonsil,7410465,15,2e-6,1e-6,3e-6,7,9.446100885706902e-7,0,0
50-54,C02.8-Overlapping lesion of tongue,7410465,20,3e-6,2e-6,4e-6,12,1.6193315804068976e-6,0,0
50-54,"C02.9-Tongue, NOS",7410465,76,1e-5,8e-6,1.3000000000000001e-5,44,5.9375491281586245e-6,0,0
50-54,C03.0-Upper gum,7410465,11,1e-6,1e-6,3e-6,5,6.747214918362073e-7,0,0
50-54,C03.1-Lower gum,7410465,22,3e-6,2e-6,4e-6,17,2.294053072243105e-6,0,0
50-54,"C03.9-Gum, NOS",7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C04.0-Anterior floor of mouth,7410465,59,8e-6,6e-6,1e-5,42,5.667660531424142e-6,0,0
50-54,C04.1-Lateral floor of mouth,7410465,20,3e-6,2e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,C04.8-Overlapping lesion of floor of mouth,7410465,5,1e-6,0,2e-6,5,6.747214918362073e-7,0,0
50-54,"C04.9-Floor of mouth, NOS",7410465,97,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,59,7.961713603667247e-6,0,0
50-54,C05.0-Hard palate,7410465,19,3e-6,2e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,"C05.1-Soft palate, NOS",7410465,52,7e-6,5e-6,9e-6,35,4.723050442853451e-6,0,0
50-54,C05.2-Uvula,7410465,11,1e-6,1e-6,3e-6,5,6.747214918362073e-7,0,0
50-54,C05.8-Overlapping lesion of palate,7410465,8,1e-6,0,2e-6,5,6.747214918362073e-7,0,0
50-54,"C05.9-Palate, NOS",7410465,10,1e-6,1e-6,2e-6,2,2.6988859673448295e-7,0,0
50-54,C06.0-Cheek mucosa,7410465,27,4e-6,2e-6,5e-6,14,1.8892201771413805e-6,0,0
50-54,C06.1-Vestibule of mouth,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,C06.2-Retromolar area,7410465,34,5e-6,3e-6,6e-6,25,3.3736074591810366e-6,0,0
50-54,C06.8-Overlapping lesion of other & unspecified mouth,7410465,1,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C06.9-Mouth, NOS",7410465,17,2e-6,1e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,C07.9-Parotid gland,7410465,120,1.6e-5,1.3000000000000001e-5,1.8999999999999998e-5,51,6.882159216729314e-6,0,0
50-54,C08.0-Submandibular gland,7410465,26,4e-6,2e-6,5e-6,11,1.4843872820396561e-6,0,0
50-54,C08.1-Sublingual gland,7410465,0,0,0,0,0,0,0,0
50-54,C08.8-Overlapping lesion of major salivary glands,7410465,0,0,0,0,0,0,0,0
50-54,"C08.9-Major salivary gland, NOS",7410465,7,1e-6,0,2e-6,3,4.048328951017244e-7,0,0
50-54,C09.0-Tonsillar fossa,7410465,98,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,53,7.152047813463797e-6,0,0
50-54,C09.1-Tonsillar pillar,7410465,40,5e-6,4e-6,7e-6,23,3.1037188624465537e-6,0,0
50-54,C09.8-Overlapping lesion of tonsil,7410465,4,1e-6,0,1e-6,4,5.397771934689659e-7,0,0
50-54,"C09.9-Tonsil, NOS",7410465,370,5e-5,4.5e-5,5.5e-5,168,2.2670642125696567e-5,0,0
50-54,C10.0-Vallecula,7410465,13,2e-6,1e-6,3e-6,7,9.446100885706902e-7,0,0
50-54,C10.1-Anterior surface of epiglottis,7410465,4,1e-6,0,1e-6,4,5.397771934689659e-7,0,0
50-54,C10.2-Lateral wall of oropharynx,7410465,10,1e-6,1e-6,2e-6,6,8.096657902034488e-7,0,0
50-54,C10.3-Posterior wall of oropharynx,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,C10.4-Branchial cleft,7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C10.8-Overlapping lesion of oropharynx,7410465,7,1e-6,0,2e-6,6,8.096657902034488e-7,0,0
50-54,"C10.9-Oropharynx, NOS",7410465,44,6e-6,4e-6,8e-6,33,4.453161846118968e-6,0,0
50-54,C11.0-Superior wall of nasopharynx,7410465,1,0,0,1e-6,0,0,0,0
50-54,C11.1-Posterior wall of nasopharynx,7410465,20,3e-6,2e-6,4e-6,13,1.754275878774139e-6,0,0
50-54,C11.2-Lateral wall of nasopharynx,7410465,9,1e-6,1e-6,2e-6,4,5.397771934689659e-7,0,0
50-54,C11.3-Anterior wall of nasopharynx,7410465,5,1e-6,0,2e-6,3,4.048328951017244e-7,0,0
50-54,C11.8-Overlapping lesion of nasopharynx,7410465,8,1e-6,0,2e-6,6,8.096657902034488e-7,0,0
50-54,"C11.9-Nasopharynx, NOS",7410465,113,1.5e-5,1.3000000000000001e-5,1.8e-5,75,1.012082237754311e-5,0,0
50-54,C12.9-Pyriform sinus,7410465,96,1.3000000000000001e-5,1e-5,1.6e-5,71,9.581045184074144e-6,0,0
50-54,C13.0-Postcricoid region,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,"C13.1-Aryepiglottic fold, hypopharyngeal",7410465,8,1e-6,0,2e-6,6,8.096657902034488e-7,0,0
50-54,C13.2-Posterior wall of hypopharynx,7410465,6,1e-6,0,2e-6,5,6.747214918362073e-7,0,0
50-54,C13.8-Overlapping lesion of hypopharynx,7410465,4,1e-6,0,1e-6,3,4.048328951017244e-7,0,0
50-54,"C13.9-Hypopharynx, NOS",7410465,31,4e-6,3e-6,6e-6,25,3.3736074591810366e-6,0,0
50-54,"C14.0-Pharynx, NOS",7410465,41,6e-6,4e-6,8e-6,27,3.6434960559155195e-6,0,0
50-54,C14.2-Waldeyers ring,7410465,1,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C14.8-Overlapping lesion of lip, oral cavity & pharynx",7410465,15,2e-6,1e-6,3e-6,10,1.3494429836724147e-6,0,0
50-54,C15.0-Cervical esophagus,7410465,11,1e-6,1e-6,3e-6,10,1.3494429836724147e-6,0,0
50-54,C15.1-Thoracic esophagus,7410465,19,3e-6,2e-6,4e-6,14,1.8892201771413805e-6,0,0
50-54,C15.2-Abdominal esophagus,7410465,6,1e-6,0,2e-6,6,8.096657902034488e-7,0,0
50-54,C15.3-Upper third of esophagus,7410465,34,5e-6,3e-6,6e-6,30,4.048328951017244e-6,0,0
50-54,C15.4-Middle third of esophagus,7410465,113,1.5e-5,1.3000000000000001e-5,1.8e-5,89,1.2010042554684491e-5,0,0
50-54,C15.5-Lower third of esophagus,7410465,435,5.9000000000000004e-5,5.3e-5,6.4e-5,345,4.6555782936698306e-5,0,9.078287691798018e-5
50-54,C15.8-Overlapping lesion of esophagus,7410465,36,5e-6,3e-6,7e-6,33,4.453161846118968e-6,0,0
50-54,"C15.9-Esophagus, NOS",7410465,79,1.1000000000000001e-5,8e-6,1.3000000000000001e-5,64,8.636435095503454e-6,0,0
50-54,"C16.0-Cardia, NOS",7410465,285,3.7999999999999995e-5,3.4e-5,4.2999999999999995e-5,236,3.1846854414668987e-05,0,0
50-54,C16.1-Fundus of stomach,7410465,42,6e-6,4e-6,8e-6,27,3.6434960559155195e-6,0,0
50-54,C16.2-Body of stomach,7410465,56,8e-6,6e-6,1e-5,35,4.723050442853451e-6,0,0
50-54,C16.3-Gastric antrum,7410465,112,1.5e-5,1.2e-5,1.8e-5,70,9.446100885706902e-6,0,0
50-54,C16.4-Pylorus,7410465,17,2e-6,1e-6,4e-6,12,1.6193315804068976e-6,0,0
50-54,C16.5-Lesser curvature of stomach NOS,7410465,50,7e-6,5e-6,9e-6,30,4.048328951017244e-6,0,0
50-54,C16.6-Greater curvature of stomach NOS,7410465,38,5e-6,4e-6,7e-6,32,4.318217547751727e-6,0,0
50-54,C16.8-Overlapping lesion of stomach,7410465,62,8e-6,6e-6,1.1000000000000001e-5,51,6.882159216729314e-6,0,0
50-54,"C16.9-Stomach, NOS",7410465,162,2.2000000000000003e-5,1.8999999999999998e-5,2.5e-5,119,1.6058371505701735e-5,0,0
50-54,C17.0-Duodenum,7410465,69,9e-6,7e-6,1.2e-5,39,5.262827636322417e-6,0,0
50-54,C17.1-Jejunum,7410465,40,5e-6,4e-6,7e-6,21,2.833830265712071e-6,0,0
