Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
"Anus, Anal Canal and Anorectum",Male,All,50-54,1482093,163,1.1000000000000002e-4,9.499999999999999e-5,1.3e-4,73,4.925466890404313e-5,0,0
"Anus, Anal Canal and Anorectum",Male,All,60-64,836793,139,1.65e-4,1.4000000000000001e-4,1.95e-4,71,8.484774609730244e-5,0,0
"Anus, Anal Canal and Anorectum",Male,All,70-74,592901.4,134,2.25e-4,1.8999999999999998e-4,2.7e-4,87,1.4673603401847254e-4,0,0
"Anus, Anal Canal and Anorectum",Male,Black,50-54,148162.6,17,1.1499999999999998e-4,6.5e-5,1.85e-4,10,6.749341601726751e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,60-64,78088,9,1.1499999999999999e-4,5.500000000000001e-5,2.2000000000000003e-4,4,5.1224259809445757e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,70-74,45789.2,11,2.4000000000000003e-4,1.2000000000000002e-4,4.3000000000000004e-4,10,2.1839210992985247e-4,0,0
"Anus, Anal Canal and Anorectum",Female,All,50-54,1548758.2,252,1.65e-4,1.45e-4,1.8500000000000002e-4,84,5.4237000972779355e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,60-64,918696.2,180,1.95e-4,1.7e-4,2.2500000000000002e-4,71,7.728343711446722e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,70-74,750127.4,208,2.7499999999999996e-4,2.3999999999999995e-4,3.2e-4,111,1.4797486400310134e-4,0,0
"Anus, Anal Canal and Anorectum",Female,Black,50-54,172564.2,33,1.8999999999999996e-4,1.3e-4,2.7e-4,14,8.112922610831214e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,60-64,96576.4,13,1.3500000000000003e-4,7e-5,2.2999999999999998e-4,7,7.248147580568339e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,70-74,66563.6,11,1.6499999999999997e-4,7.999999999999999e-5,2.95e-4,6,9.013935544351567e-5,0,0
Bones and Joints,Male,All,50-54,1482093,51,3.5e-5,2.5e-5,4.5e-5,26,1.754275878774139e-5,0,0
Bones and Joints,Male,All,60-64,836793,59,7.000000000000001e-5,5.5e-5,8.999999999999999e-5,30,3.585116032280385e-5,0,0
Bones and Joints,Male,All,70-74,592901.4,69,1.15e-4,9e-5,1.4499999999999997e-4,45,7.589794863024442e-5,0,0
Bones and Joints,Male,Black,50-54,148162.6,8,5.5e-5,2.4999999999999998e-5,1.05e-4,3,2.0248024805180255e-5,0,0
Bones and Joints,Male,Black,60-64,78088,7,9e-5,3.5000000000000004e-5,1.85e-4,2,2.5612129904722878e-5,0,0
Bones and Joints,Male,Black,70-74,45789.2,6,1.3000000000000002e-4,5e-5,2.85e-4,4,8.7356843971941e-5,0,0
Bones and Joints,Female,All,50-54,1548758.2,61,4e-5,2.9999999999999997e-5,5e-5,22,1.4204928826204117e-5,0,0
Bones and Joints,Female,All,60-64,918696.2,36,4.000000000000001e-5,2.5e-5,5.500000000000001e-5,16,1.741598582861233e-5,0,0
Bones and Joints,Female,All,70-74,750127.4,41,5.5e-5,4e-5,7.5e-5,28,3.732699272150304e-5,0,0
Bones and Joints,Female,Black,50-54,172564.2,2,1e-5,0,4e-5,1,5.794944722022296e-6,0,0
Bones and Joints,Female,Black,60-64,96576.4,3,3.0000000000000004e-5,5e-6,9e-5,2,2.0708993087338108e-5,0,0
Bones and Joints,Female,Black,70-74,66563.6,2,2.9999999999999997e-5,4.9999999999999996e-6,1.1e-4,1,1.5023225907252611e-5,0,0
Brain and Other Nervous System,Male,All,50-54,1482093,680,4.6e-4,4.2500000000000003e-4,4.95e-4,532,3.589518336568623e-4,3.137699833951041e-4,3.137699833951041e-4
Brain and Other Nervous System,Male,All,60-64,836793,674,8.05e-4,7.45e-4,8.7e-4,591,7.062678583592358e-4,5.557363601272955e-4,5.557363601272955e-4
Brain and Other Nervous System,Male,All,70-74,592901.4,755,0.001275,0.0011849999999999999,0.00137,679,0.0011452157137763546,7.843400201112698e-4,0.0015686800402225395
Brain and Other Nervous System,Male,Black,50-54,148162.6,43,2.8999999999999995e-4,2.1e-4,3.8999999999999994e-4,30,2.0248024805180254e-4,0,3.455315039017944e-4
Brain and Other Nervous System,Male,Black,60-64,78088,39,5e-4,3.55e-4,6.85e-4,31,3.969880135232046e-4,0,6.556045231021412e-4
Brain and Other Nervous System,Male,Black,70-74,45789.2,39,8.500000000000001e-4,6.050000000000001e-4,0.001165,27,5.896586968106017e-4,0,0.001118055043547387
Brain and Other Nervous System,Female,All,50-54,1548758.2,519,3.3500000000000007e-4,3.0499999999999993e-4,3.65e-4,379,2.447121829605164e-4,3.0777024909375784e-4,3.0777024909375784e-4
Brain and Other Nervous System,Female,All,60-64,918696.2,490,5.35e-4,4.8499999999999997e-4,5.85e-4,416,4.5281563154392064e-4,5.188458349996441e-4,5.188458349996441e-4
Brain and Other Nervous System,Female,All,70-74,750127.4,604,8.05e-4,7.4e-4,8.699999999999999e-4,547,7.2920946495222e-4,6.354409890906532e-4,6.354409890906532e-4
Brain and Other Nervous System,Female,Black,50-54,172564.2,42,2.45e-4,1.7499999999999997e-4,3.2999999999999994e-4,27,1.56463507494602e-4,0,3.210659163372241e-4
Brain and Other Nervous System,Female,Black,60-64,96576.4,30,3.1e-4,2.1000000000000004e-4,4.4500000000000003e-4,19,1.9673543432971203e-4,0,5.73685527727271e-4
Brain and Other Nervous System,Female,Black,70-74,66563.6,25,3.7499999999999995e-4,2.45e-4,5.549999999999999e-4,16,2.4037161451604178e-4,0,0
Breast,Male,All,50-54,1482093,91,5.9999999999999995e-5,5e-5,7.500000000000001e-5,26,1.754275878774139e-5,0,0
Breast,Male,All,60-64,836793,123,1.45e-4,1.2e-4,1.75e-4,46,5.4971779161632565e-5,0,0
Breast,Male,All,70-74,592901.4,161,2.7e-4,2.3e-4,3.1499999999999996e-4,78,1.3155644429242366e-4,0,0
Breast,Male,Black,50-54,148162.6,11,7.5e-5,3.5e-5,1.35e-4,5,3.3746708008633755e-5,0,0
Breast,Male,Black,60-64,78088,21,2.7e-4,1.65e-4,4.0999999999999994e-4,10,1.2806064952361438e-4,0,0
Breast,Male,Black,70-74,45789.2,14,3.05e-4,1.65e-4,5.15e-4,9,1.9655289893686723e-4,0,0
Breast,Female,All,50-54,1548758.2,19243,0.012425,0.012250000000000002,0.0126,3891,0.002512335366489101,0.0024621619927500627,0.0024621619927500627
Breast,Female,All,60-64,918696.2,17403,0.018945,0.018665,0.019225,4274,0.004652245214468069,0.004669612514996797,0.004669612514996797
Breast,Female,All,70-74,750127.4,16750,0.022330000000000003,0.021995,0.022669999999999996,6638,0.008849163488762041,0.008896173847269142,0.008896173847269142
Breast,Female,Black,50-54,172564.2,2077,0.012034999999999997,0.011524999999999999,0.012565,630,0.0036508151748740466,0.003531725079709465,0.0038527909960466883
Breast,Female,Black,60-64,96576.4,1519,0.015730000000000004,0.014944999999999998,0.01654,500,0.005177248271834527,0.004589484221818168,0.005736855277272709
Breast,Female,Black,70-74,66563.6,1285,0.019305,0.018265,0.02039,557,0.008367936830339704,0.007491186579451832,0.009155894708218907
Cervix Uteri,Male,All,50-54,1482093,0,0,0,0,0,0,0,0
Cervix Uteri,Male,All,60-64,836793,0,0,0,4.9999999999999996e-6,0,0,0,0
Cervix Uteri,Male,All,70-74,592901.4,0,0,0,5e-6,0,0,0,0
Cervix Uteri,Male,Black,50-54,148162.6,0,0,0,2.4999999999999998e-5,0,0,0,0
Cervix Uteri,Male,Black,60-64,78088,0,0,0,4.5e-5,0,0,0,0
Cervix Uteri,Male,Black,70-74,45789.2,0,0,0,8e-5,0,0,0,0
Cervix Uteri,Female,All,50-54,1548758.2,1165,7.5e-4,7.099999999999999e-4,7.950000000000001e-4,448,2.8926400518815656e-4,3.0777024909375784e-4,3.0777024909375784e-4
Cervix Uteri,Female,All,60-64,918696.2,726,7.9e-4,7.350000000000001e-4,8.5e-4,329,3.581162086008411e-4,5.188458349996441e-4,5.188458349996441e-4
