"Sex (Male, Female)","Race recode (All, Black)","Age recode (50-54, 60-64, 70-74)","Site recode ICD-O-3/WHO 2008 (Liu et al groupings)","Crude Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"Male","All","50-54 years","Lip",0.0,0.0,0.0,0.0,17,265375710
"Male","All","50-54 years","Tongue",0.1,0.0,0.1,0.1,245,265375710
"Male","All","50-54 years","Salivary Gland",0.0,0.0,0.0,0.0,43,265375710
"Male","All","50-54 years","Floor of Mouth",0.0,0.0,0.0,0.0,81,265375710
"Male","All","50-54 years","Gum and Other Mouth",0.0,0.0,0.0,0.0,105,265375710
"Male","All","50-54 years","Nasopharynx",0.0,0.0,0.0,0.0,56,265375710
"Male","All","50-54 years","Tonsil",0.1,0.0,0.0,0.1,151,265375710
"Male","All","50-54 years","Oropharynx",0.0,0.0,0.0,0.0,42,265375710
"Male","All","50-54 years","Hypopharynx",0.0,0.0,0.0,0.0,89,265375710
"Male","All","50-54 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,30,265375710
"Male","All","50-54 years","Esophagus",0.2,0.0,0.2,0.2,548,265375710
"Male","All","50-54 years","Stomach",0.2,0.0,0.2,0.2,519,265375710
"Male","All","50-54 years","Small Intestine",0.0,0.0,0.0,0.0,72,265375710
"Male","All","50-54 years","Colon and Rectum",0.5,0.0,0.5,0.6,1405,265375710
"Male","All","50-54 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,61,265375710
"Male","All","50-54 years","Liver",0.3,0.0,0.3,0.4,880,265375710
"Male","All","50-54 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,41,265375710
"Male","All","50-54 years","Gallbladder",0.0,0.0,0.0,0.0,22,265375710
"Male","All","50-54 years","Other Biliary",0.0,0.0,0.0,0.0,72,265375710
"Male","All","50-54 years","Pancreas",0.3,0.0,0.3,0.3,806,265375710
"Male","All","50-54 years","Retroperitoneum",0.0,0.0,0.0,0.0,17,265375710
"Male","All","50-54 years","Peritoneum, Omentum and Mesentery",0.0,0.0,0.0,0.0,3,265375710
