"Sex (Male, Female)","Race recode (All, Black)","Age recode (50-54, 60-64, 70-74)","Site recode ICD-O-3/WHO 2008 (Liu et al groupings)","Crude Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"Male","All","50-54 years","Lip",1.6,0.1,1.4,2.0,121,7410465
"Male","All","50-54 years","Tongue",8.9,0.3,8.3,9.6,661,7410465
"Male","All","50-54 years","Salivary Gland",1.9,0.2,1.6,2.2,141,7410465
"Male","All","50-54 years","Floor of Mouth",2.4,0.2,2.1,2.8,181,7410465
"Male","All","50-54 years","Gum and Other Mouth",2.7,0.2,2.4,3.1,203,7410465
"Male","All","50-54 years","Nasopharynx",1.9,0.2,1.6,2.2,138,7410465
"Male","All","50-54 years","Tonsil",6.7,0.3,6.1,7.3,497,7410465
"Male","All","50-54 years","Oropharynx",1.1,0.1,0.9,1.4,81,7410465
"Male","All","50-54 years","Hypopharynx",2.0,0.2,1.7,2.3,147,7410465
"Male","All","50-54 years","Other Oral Cavity and Pharynx",0.7,0.1,0.5,1.0,54,7410465
"Male","All","50-54 years","Esophagus",9.9,0.4,9.2,10.6,731,7410465
"Male","All","50-54 years","Stomach",9.9,0.4,9.2,10.6,733,7410465
"Male","All","50-54 years","Small Intestine",2.8,0.2,2.4,3.2,208,7410465
"Male","All","50-54 years","Colon and Rectum",60.5,0.9,58.7,62.3,4482,7410465
"Male","All","50-54 years","Anus, Anal Canal and Anorectum",2.2,0.2,1.9,2.6,163,7410465
"Male","All","50-54 years","Liver",15.1,0.5,14.2,16.0,1116,7410465
"Male","All","50-54 years","Intrahepatic Bile Duct",0.6,0.1,0.5,0.8,46,7410465
"Male","All","50-54 years","Gallbladder",0.4,0.1,0.3,0.5,28,7410465
"Male","All","50-54 years","Other Biliary",1.4,0.1,1.1,1.7,102,7410465
"Male","All","50-54 years","Pancreas",12.8,0.4,12.0,13.7,951,7410465
"Male","All","50-54 years","Retroperitoneum",0.5,0.1,0.3,0.7,36,7410465
"Male","All","50-54 years","Peritoneum, Omentum and Mesentery",0.1,0.0,0.0,0.2,6,7410465
"Male","All","50-54 years","Other Digestive Organs",0.5,0.1,0.4,0.7,39,7410465
"Male","All","50-54 years","Nose, Nasal Cavity and Middle Ear",1.4,0.1,1.2,1.7,106,7410465
"Male","All","50-54 years","Larynx",9.7,0.4,9.0,10.4,717,7410465
"Male","All","50-54 years","Lung and Bronchus",64.5,0.9,62.7,66.3,4779,7410465
"Male","All","50-54 years","Pleura",0.1,0.0,0.0,0.1,4,7410465
"Male","All","50-54 years","Trachea, Mediastinum and Other Respiratory Organs",0.3,0.1,0.2,0.4,21,7410465
"Male","All","50-54 years","Bones and Joints",0.7,0.1,0.5,0.9,51,7410465
"Male","All","50-54 years","Soft Tissue including Heart",4.1,0.2,3.6,4.6,302,7410465
"Male","All","50-54 years","Melanoma of the Skin",34.0,0.7,32.7,35.3,2517,7410465
"Male","All","50-54 years","Other Non-Epithelial Skin",1.8,0.2,1.5,2.1,132,7410465
"Male","All","50-54 years","Breast",1.2,0.1,1.0,1.5,91,7410465
"Male","All","50-54 years","Cervix Uteri",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Corpus Uteri",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Uterus, NOS",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Ovary",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Vagina",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Vulva",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Other Female Genital Organs",0.0,NA,0.0,0.0,0,7410465
"Male","All","50-54 years","Prostate",143.3,1.4,140.5,146.0,10616,7410465
"Male","All","50-54 years","Testis",4.5,0.2,4.0,5.0,330,7410465
"Male","All","50-54 years","Penis",0.8,0.1,0.6,1.0,59,7410465
"Male","All","50-54 years","Other Male Genital Organs",0.3,0.1,0.2,0.5,23,7410465
"Male","All","50-54 years","Urinary Bladder",24.4,0.6,23.3,25.5,1806,7410465
"Male","All","50-54 years","Kidney and Renal Pelvis",24.2,0.6,23.1,25.4,1796,7410465
"Male","All","50-54 years","Ureter",0.4,0.1,0.3,0.6,29,7410465
"Male","All","50-54 years","Other Urinary Organs",0.4,0.1,0.2,0.5,27,7410465
"Male","All","50-54 years","Eye and Orbit",1.4,0.1,1.1,1.7,102,7410465
"Male","All","50-54 years","Brain and Other Nervous System",9.2,0.4,8.5,9.9,680,7410465
"Male","All","50-54 years","Thyroid",7.0,0.3,6.4,7.6,516,7410465
"Male","All","50-54 years","Other Endocrine including Thymus",0.8,0.1,0.6,1.1,62,7410465
"Male","All","50-54 years","Lymphoma",30.4,0.6,29.1,31.7,2251,7410465
"Male","All","50-54 years","Myeloma",7.6,0.3,7.0,8.2,562,7410465
"Male","All","50-54 years","Leukemia",13.8,0.4,12.9,14.6,1019,7410465
"Male","All","50-54 years","Mesothelioma",0.9,0.1,0.7,1.1,67,7410465
"Male","All","50-54 years","Kaposi Sarcoma",1.3,0.1,1.1,1.6,99,7410465
"Male","All","60-64 years","Lip",3.6,0.3,3.1,4.3,152,4183965
"Male","All","60-64 years","Tongue",14.0,0.6,12.9,15.2,585,4183965
"Male","All","60-64 years","Salivary Gland",3.7,0.3,3.1,4.3,153,4183965
"Male","All","60-64 years","Floor of Mouth",4.6,0.3,4.0,5.3,193,4183965
"Male","All","60-64 years","Gum and Other Mouth",6.3,0.4,5.5,7.1,262,4183965
"Male","All","60-64 years","Nasopharynx",3.0,0.3,2.5,3.6,125,4183965
"Male","All","60-64 years","Tonsil",8.0,0.4,7.1,8.9,334,4183965
"Male","All","60-64 years","Oropharynx",2.1,0.2,1.7,2.6,88,4183965
"Male","All","60-64 years","Hypopharynx",4.4,0.3,3.8,5.1,183,4183965
"Male","All","60-64 years","Other Oral Cavity and Pharynx",1.6,0.2,1.2,2.0,66,4183965
"Male","All","60-64 years","Esophagus",23.8,0.8,22.4,25.4,997,4183965
"Male","All","60-64 years","Stomach",28.4,0.8,26.8,30.1,1190,4183965
"Male","All","60-64 years","Small Intestine",6.3,0.4,5.5,7.1,262,4183965
"Male","All","60-64 years","Colon and Rectum",157.7,1.9,154.0,161.6,6600,4183965
"Male","All","60-64 years","Anus, Anal Canal and Anorectum",3.3,0.3,2.8,3.9,139,4183965
"Male","All","60-64 years","Liver",23.2,0.7,21.7,24.7,969,4183965
"Male","All","60-64 years","Intrahepatic Bile Duct",1.8,0.2,1.4,2.2,74,4183965
"Male","All","60-64 years","Gallbladder",1.6,0.2,1.2,2.0,66,4183965
"Male","All","60-64 years","Other Biliary",4.3,0.3,3.7,4.9,178,4183965
"Male","All","60-64 years","Pancreas",33.3,0.9,31.6,35.1,1395,4183965
"Male","All","60-64 years","Retroperitoneum",0.9,0.1,0.6,1.2,36,4183965
"Male","All","60-64 years","Peritoneum, Omentum and Mesentery",0.3,0.1,0.2,0.5,13,4183965
"Male","All","60-64 years","Other Digestive Organs",1.0,0.2,0.7,1.4,43,4183965
"Male","All","60-64 years","Nose, Nasal Cavity and Middle Ear",2.4,0.2,1.9,2.9,100,4183965
"Male","All","60-64 years","Larynx",26.2,0.8,24.7,27.8,1098,4183965
"Male","All","60-64 years","Lung and Bronchus",249.8,2.4,245.0,254.6,10451,4183965
"Male","All","60-64 years","Pleura",0.1,0.0,0.0,0.2,4,4183965
"Male","All","60-64 years","Trachea, Mediastinum and Other Respiratory Organs",0.3,0.1,0.2,0.6,14,4183965
"Male","All","60-64 years","Bones and Joints",1.4,0.2,1.1,1.8,59,4183965
"Male","All","60-64 years","Soft Tissue including Heart",6.4,0.4,5.7,7.2,268,4183965
"Male","All","60-64 years","Melanoma of the Skin",56.0,1.2,53.7,58.3,2342,4183965
"Male","All","60-64 years","Other Non-Epithelial Skin",3.6,0.3,3.0,4.2,149,4183965
"Male","All","60-64 years","Breast",2.9,0.3,2.4,3.5,123,4183965
"Male","All","60-64 years","Cervix Uteri",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Corpus Uteri",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Uterus, NOS",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Ovary",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Vagina",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Vulva",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Other Female Genital Organs",0.0,NA,0.0,0.1,0,4183965
"Male","All","60-64 years","Prostate",612.4,3.8,604.9,619.9,25621,4183965
"Male","All","60-64 years","Testis",1.7,0.2,1.3,2.1,71,4183965
"Male","All","60-64 years","Penis",2.6,0.2,2.1,3.1,107,4183965
"Male","All","60-64 years","Other Male Genital Organs",0.6,0.1,0.4,0.9,27,4183965
"Male","All","60-64 years","Urinary Bladder",85.3,1.4,82.5,88.2,3570,4183965
"Male","All","60-64 years","Kidney and Renal Pelvis",54.2,1.1,52.0,56.5,2269,4183965
"Male","All","60-64 years","Ureter",1.6,0.2,1.2,2.0,65,4183965
"Male","All","60-64 years","Other Urinary Organs",0.9,0.1,0.6,1.2,36,4183965
"Male","All","60-64 years","Eye and Orbit",2.1,0.2,1.7,2.6,87,4183965
"Male","All","60-64 years","Brain and Other Nervous System",16.1,0.6,14.9,17.4,674,4183965
"Male","All","60-64 years","Thyroid",9.2,0.5,8.3,10.2,386,4183965
"Male","All","60-64 years","Other Endocrine including Thymus",1.7,0.2,1.4,2.2,73,4183965
"Male","All","60-64 years","Lymphoma",55.5,1.2,53.3,57.8,2323,4183965
"Male","All","60-64 years","Myeloma",17.8,0.7,16.6,19.2,746,4183965
"Male","All","60-64 years","Leukemia",34.8,0.9,33.1,36.7,1457,4183965
"Male","All","60-64 years","Mesothelioma",3.6,0.3,3.1,4.3,152,4183965
"Male","All","60-64 years","Kaposi Sarcoma",0.8,0.1,0.5,1.1,33,4183965
"Male","All","70-74 years","Lip",7.2,0.5,6.2,8.2,212,2964507
"Male","All","70-74 years","Tongue",15.1,0.7,13.7,16.5,447,2964507
"Male","All","70-74 years","Salivary Gland",6.3,0.5,5.4,7.2,186,2964507
"Male","All","70-74 years","Floor of Mouth",4.4,0.4,3.6,5.2,129,2964507
"Male","All","70-74 years","Gum and Other Mouth",8.5,0.5,7.5,9.6,251,2964507
"Male","All","70-74 years","Nasopharynx",2.5,0.3,1.9,3.1,73,2964507
"Male","All","70-74 years","Tonsil",5.9,0.4,5.1,6.9,176,2964507
"Male","All","70-74 years","Oropharynx",2.1,0.3,1.6,2.6,61,2964507
"Male","All","70-74 years","Hypopharynx",7.1,0.5,6.1,8.1,209,2964507
"Male","All","70-74 years","Other Oral Cavity and Pharynx",1.7,0.2,1.3,2.2,50,2964507
"Male","All","70-74 years","Esophagus",40.4,1.2,38.2,42.8,1199,2964507
"Male","All","70-74 years","Stomach",55.7,1.4,53.0,58.4,1651,2964507
"Male","All","70-74 years","Small Intestine",9.1,0.6,8.1,10.3,271,2964507
"Male","All","70-74 years","Colon and Rectum",308.3,3.2,302.0,314.7,9139,2964507
"Male","All","70-74 years","Anus, Anal Canal and Anorectum",4.5,0.4,3.8,5.4,134,2964507
"Male","All","70-74 years","Liver",35.6,1.1,33.4,37.8,1054,2964507
"Male","All","70-74 years","Intrahepatic Bile Duct",4.5,0.4,3.7,5.3,132,2964507
"Male","All","70-74 years","Gallbladder",4.3,0.4,3.6,5.1,127,2964507
"Male","All","70-74 years","Other Biliary",10.0,0.6,8.9,11.2,296,2964507
"Male","All","70-74 years","Pancreas",64.8,1.5,61.9,67.7,1920,2964507
"Male","All","70-74 years","Retroperitoneum",1.7,0.2,1.2,2.2,49,2964507
"Male","All","70-74 years","Peritoneum, Omentum and Mesentery",0.3,0.1,0.1,0.6,9,2964507
"Male","All","70-74 years","Other Digestive Organs",2.5,0.3,1.9,3.1,73,2964507
"Male","All","70-74 years","Nose, Nasal Cavity and Middle Ear",3.1,0.3,2.5,3.8,92,2964507
"Male","All","70-74 years","Larynx",35.3,1.1,33.2,37.5,1046,2964507
"Male","All","70-74 years","Lung and Bronchus",503.5,4.1,495.5,511.7,14927,2964507
"Male","All","70-74 years","Pleura",0.2,0.1,0.1,0.4,6,2964507
"Male","All","70-74 years","Trachea, Mediastinum and Other Respiratory Organs",0.8,0.2,0.5,1.2,23,2964507
"Male","All","70-74 years","Bones and Joints",2.3,0.3,1.8,2.9,69,2964507
"Male","All","70-74 years","Soft Tissue including Heart",11.0,0.6,9.9,12.3,327,2964507
"Male","All","70-74 years","Melanoma of the Skin",89.8,1.7,86.4,93.3,2662,2964507
"Male","All","70-74 years","Other Non-Epithelial Skin",9.5,0.6,8.4,10.7,281,2964507
"Male","All","70-74 years","Breast",5.4,0.4,4.6,6.3,161,2964507
"Male","All","70-74 years","Cervix Uteri",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Corpus Uteri",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Uterus, NOS",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Ovary",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Vagina",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Vulva",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Other Female Genital Organs",0.0,NA,0.0,0.1,0,2964507
"Male","All","70-74 years","Prostate",1078.4,6.0,1066.6,1090.2,31968,2964507
"Male","All","70-74 years","Testis",0.9,0.2,0.6,1.3,26,2964507
"Male","All","70-74 years","Penis",4.1,0.4,3.4,5.0,123,2964507
"Male","All","70-74 years","Other Male Genital Organs",1.3,0.2,0.9,1.8,38,2964507
"Male","All","70-74 years","Urinary Bladder",198.6,2.6,193.5,203.7,5887,2964507
"Male","All","70-74 years","Kidney and Renal Pelvis",80.5,1.6,77.3,83.8,2387,2964507
