Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
"Anus, Anal Canal and Anorectum",Male,All,50-54,1482093,163,1.1000000000000002e-4,9.499999999999999e-5,1.3e-4,84,5.6676605314241416e-5,0,0
"Anus, Anal Canal and Anorectum",Male,All,60-64,836793,139,1.65e-4,1.4000000000000001e-4,1.95e-4,88,1.0516340361355795e-4,0,0
"Anus, Anal Canal and Anorectum",Male,All,70-74,592901.4,134,2.25e-4,1.8999999999999998e-4,2.7e-4,107,1.804684556319145e-4,0,0
"Anus, Anal Canal and Anorectum",Male,Black,50-54,148162.6,17,1.1499999999999998e-4,6.5e-5,1.85e-4,10,6.749341601726751e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,60-64,78088,9,1.1499999999999999e-4,5.500000000000001e-5,2.2000000000000003e-4,5,6.403032476180719e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,70-74,45789.2,11,2.4000000000000003e-4,1.2000000000000002e-4,4.3000000000000004e-4,11,2.402313209228377e-4,0,0
"Anus, Anal Canal and Anorectum",Female,All,50-54,1548758.2,252,1.65e-4,1.45e-4,1.8500000000000002e-4,96,6.198514396889069e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,60-64,918696.2,180,1.95e-4,1.7e-4,2.2500000000000002e-4,93,1.0123041762880918e-4,0,0
"Anus, Anal Canal and Anorectum",Female,All,70-74,750127.4,208,2.7499999999999996e-4,2.3999999999999995e-4,3.2e-4,143,1.9063428425624765e-4,0,0
"Anus, Anal Canal and Anorectum",Female,Black,50-54,172564.2,33,1.8999999999999996e-4,1.3e-4,2.7e-4,16,9.271911555235674e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,60-64,96576.4,13,1.3500000000000003e-4,7e-5,2.2999999999999998e-4,7,7.248147580568339e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,70-74,66563.6,11,1.6499999999999997e-4,7.999999999999999e-5,2.95e-4,10,1.502322590725261e-4,0,0
Bones and Joints,Male,All,50-54,1482093,51,3.5e-5,2.5e-5,4.5e-5,28,1.8892201771413804e-5,0,0
Bones and Joints,Male,All,60-64,836793,59,7.000000000000001e-5,5.5e-5,8.999999999999999e-5,34,4.063131503251103e-5,0,0
Bones and Joints,Male,All,70-74,592901.4,69,1.15e-4,9e-5,1.4499999999999997e-4,48,8.095781187226071e-5,0,0
Bones and Joints,Male,Black,50-54,148162.6,8,5.5e-5,2.4999999999999998e-5,1.05e-4,4,2.6997366406907005e-5,0,0
Bones and Joints,Male,Black,60-64,78088,7,9e-5,3.5000000000000004e-5,1.85e-4,3,3.8418194857084316e-5,0,0
Bones and Joints,Male,Black,70-74,45789.2,6,1.3000000000000002e-4,5e-5,2.85e-4,4,8.7356843971941e-5,0,0
Bones and Joints,Female,All,50-54,1548758.2,61,4e-5,2.9999999999999997e-5,5e-5,27,1.7433321741250508e-5,0,0
Bones and Joints,Female,All,60-64,918696.2,36,4.000000000000001e-5,2.5e-5,5.500000000000001e-5,19,2.0681483171477143e-5,0,0
Bones and Joints,Female,All,70-74,750127.4,41,5.5e-5,4e-5,7.5e-5,34,4.532563401896798e-5,0,0
Bones and Joints,Female,Black,50-54,172564.2,2,1e-5,0,4e-5,1,5.794944722022296e-6,0,0
Bones and Joints,Female,Black,60-64,96576.4,3,3.0000000000000004e-5,5e-6,9e-5,2,2.0708993087338108e-5,0,0
Bones and Joints,Female,Black,70-74,66563.6,2,2.9999999999999997e-5,4.9999999999999996e-6,1.1e-4,1,1.5023225907252611e-5,0,0
Brain and Other Nervous System,Male,All,50-54,1482093,680,4.6e-4,4.2500000000000003e-4,4.95e-4,563,3.798681999037847e-4,4.539143845899009e-4,4.539143845899009e-4
Brain and Other Nervous System,Male,All,60-64,836793,674,8.05e-4,7.45e-4,8.7e-4,596,7.122430517463698e-4,8.039543017209752e-4,8.039543017209752e-4
Brain and Other Nervous System,Male,All,70-74,592901.4,755,0.001275,0.0011849999999999999,0.00137,684,0.0011536488191797151,0.0011346630856327881,0.0011346630856327881
Brain and Other Nervous System,Male,Black,50-54,148162.6,43,2.8999999999999995e-4,2.1e-4,3.8999999999999994e-4,32,2.1597893125525604e-4,0,5.05587806909436e-4
Brain and Other Nervous System,Male,Black,60-64,78088,39,5e-4,3.55e-4,6.85e-4,32,4.0979407847556605e-4,0,9.592921319536934e-4
Brain and Other Nervous System,Male,Black,70-74,45789.2,39,8.500000000000001e-4,6.050000000000001e-4,0.001165,28,6.114979078035869e-4,0,0.0016359579114725744
Brain and Other Nervous System,Female,All,50-54,1548758.2,519,3.3500000000000007e-4,3.0499999999999993e-4,3.65e-4,396,2.556887188716741e-4,4.45210576447634e-4,4.45210576447634e-4
